title,url,area,balcony_garden,finish_condition,floor,form_of_ownership,location,parking_space,price,price_per_m2,rent,rooms,listing_description
Luksusowa kawalerka 29m2 z Widokowym Tarasem 29M2!,https://www.otodom.pl/pl/oferta/luksusowa-kawalerka-29m2-z-widokowym-tarasem-29m2-ID4rNsH,29,250 zł,7-Jun,"balkon, taras",pełna własność,"os. Słocina, Słocina, Rzeszów, podkarpackie","Obsługa zdalna,gazowe",409000,14296,contact for details,do zamieszkania,"Na sprzedaż GOTOWA KAWALERKA 29M2 Z OGROMNYM WIDOKOWYM TARASEM w Rzeszowie os. Słocina  Przestronna kawalerka w Rzeszowie z dużym tarasem!  Oferujemy na sprzedaż wyjątkową kawalerkę, która zachwyca wysokim standardem wykończenia oraz jasnym, przestronnym wnętrzem. Mieszkanie znajduje się w świetnej lokalizacji, blisko centrum,  co zapewnia łatwy dostęp do wszystkich udogodnień.  Duży taras to idealne miejsce na relaks i spotkania z przyjaciółmi, a także doskonała przestrzeń do cieszenia się świeżym powietrzem i CUDOWNYM WIDOKIEM !!! Z TARASU MOZNA PODZIWIAĆ PIEKNY ZACHÓD SŁONCA NAD CAŁYM MIASTEM!!!! OPIS NIERUCHOMOŚCI: - powierzchnia mieszkania 28,61m2 - bardzo duży i widokowy taras 29m2 - piętro 6/7 - NISKI CZYNSZ 250ZŁ - mieszkanie w pełni wykończone - z dbałością o każdy szczegół - wysoka jakość materiałów  - posiada klimatyzacje - gotowe do zamieszkania - WYSOKI STANDARD UKŁAD POMIESZCZEŃ:  -Salon z aneksem kuchennym o pow. 19,0m2  -Hol 4,7m2  -Łazienka 4,8m2  -Taras 29,0m2  - Do mieszkania przynależy komórka lokatorska mieszcząca  się na tym samym piętrze co mieszkanie  - dodatkowe płatna 15 000,0zł - Do mieszkania przynależy również miejsce postojowe w hali garażowej  - dodatkowo płatne 45 000,0zł  LOKALIZACJA: BARDZO DOBRA LOKALIZACJA!!! - w okolicy sklepy ,przedszkola szkoły, biedronka - mieszkanie znajduje się na nowym osiedlu - w otoczeniu zieleni  - jest bardzo dobrze skomunikowane z resztą miasta  - trwa również budowa nowej drogi łączącej osiedle  z ścisłym centrum Rzeszowa co jeszcze bardziej ułatwi komunikację!!! To idealna propozycja dla singli lub par, które szukają komfortowego miejsca do życia. Nie przegap tej wyjątkowej okazji!  Skontaktuj się z nami, aby umówić się na prezentację! POPROWADZIMY CAŁĄ SPRZEDAŻ I ZAPEWNIAMY BEZPIECZEŃSTWO TRANSAKCJI!!! Agent prowadzący : Natalia Bojda Prosper Home ul. Lwowska 6 35-959 Rzeszów tel. 695 460 390 tel. 695 460 393 Powyższa oferta ma jedynie charakter informacyjny i nie stanowi oferty handlowej w rozumieniu Art. 66 1 Kodeksu Cywilnego."
Okazja - gotowe do zamieszkania 42 M w centrum,https://www.otodom.pl/pl/oferta/okazja-gotowe-do-zamieszkania-42-m-w-centrum-ID4rNsQ,42,balkon,do zamieszkania,4-Jan,Forma własności,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",miejskie,1049000,24976,740,2,"Cicha uliczka w cenrtum miasta - pomiędzy Al. Solidarności i Elektoralną znajduje sie urocza uliczka Orla - spokojna, pełna zieleni.  Dwa kroki do Placu Bankowego, gdzie jest wszelka komunikacja, niedaleko również jest Park Saski, Hala Mirowska z bazarkiem, Aleja Jana Pawła II ze wszelką infrastrukturą, sklepami, restauracjami oraz usługami.  Budynek ocieplony w pełni odremontowany, elewacja jest tuż po renowacji.  Mieszkanie funkcjonalnie zaprojektowane i wykonane z materiałów najwyższej jakości.  Wysokość pomieszczeń to 2,7 m, duże okna oraz balkon klasyczny dają doskonałe doświetlenie całego mieszkania. Ekspozycja okien wschodnia z widokiem na zielony dziedziniec ze starodrzewiem. Salon z aneksem kuchennym, sypialnia, łazienka oraz przedpokój z dużą szafą wnękową wykonaną na wymiar.  Powierzchnia mieszkania to 42 m2, balkon oraz piwnica. Okolica zielona, spokojna , pełna uroku i dawnej architektury.  Polecam i  zapraszam na prezentację !  - Skontaktuj się z nami w celu zapoznania się ze szczegółami oferty. Jeżeli nie udało Ci się znaleźć oferty spełniającej Twoich oczekiwań, zapraszamy do kontaktu bezpośredniego. Nie wszystkie nasze oferty widoczne są w internecie. Informujemy, iż pomimo wszelkich starań, które poczyniliśmy, aby zaprezentować rzetelne informacje o nieruchomości, przedstawione informacje otrzymaliśmy od właściciela oraz innych osób współpracujących w procesie sprzedaży i mogą one wymagać weryfikacji. Przedstawione materiały wizualne mają charakter poglądowy i stanowią jedynie materiał pomocniczy. Niniejsze ogłoszenie nie stanowi oferty w rozumieniu kodeksu cywilnego i ma charakter informacyjny. Niniejsze ogłoszenie jest własnością Reals Nieruchomości Sp. z.o.o. lub podmiotów współpracujących. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Reals Nieruchomości Sp. z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej. Przedstawione materiały stanowią tajemnicę przedsiębiorstwa Reals Nieruchomości Sp. z o.o. lub podmiotów współpracujących w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.).  Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
3 pokojowe mieszkanie na os. Dolinki,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-os-dolinki-ID4rNt5,45.5,600 zł,11-Jun,balkon,Forma własności,"Dolinki, Gorzów Wielkopolski, lubuskie",,269000,5912,contact for details,3,"Przedmiotem sprzedaży jest mieszkanie znajdujące się na VI piętrze wysokiego bloku z windą przy ul. Poniatowskiego w Gorzowie Wlkp. os. Dolinki. Mieszkanie o pow. 45,50 m2 składa się z trzech oddzielnych pokoi, w tym jeden z wyjściem na balkon, osobnej kuchni, łazienki, wc, przedpokoju. Ogrzewanie z sieci miejskiej, ciepła woda z termy gazowej. Czynsz ok. 600 zł/1 osobę. Mieszkanie słoneczne, rozkładowe z pięknym widokiem, do remontu."
Kawalerka z ogródkiem przy Parku Zacisze,https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodkiem-przy-parku-zacisze-ID4rNsV,31,kotłownia,3-Jan,Balkon / ogród / taras,spółdzielcze wł. prawo do lokalu,"Śródmieście, Gorzów Wielkopolski, lubuskie",,159000,5129,contact for details,do wykończenia,"Mam przyjemność zaprezentować Państwu kawalerkę do remontu z ogródkiem w udziale 1/6 przy ul. Wyszyńskiego w Gorzowie Wlkp.  Opis Nieruchomości: Oferujemy na sprzedaż kawalerkę o powierzchni 31 m², usytuowaną na 1. piętrze niskiej kamienicy. Mieszkanie składa się z dużego pokoju, pomieszczenie na kuchnie i łazienkę (jak na projekcie) oraz przedpokoju z wnęką. Do nieruchomości przynależą również dwie piwnice oraz komórka lokatorska.  Miejsca postojowe dostępne są dla mieszkańców na podwórzu na tyłach budynku.  Okna nieruchomości wychodzą na zachód od salonu i na wschód od strony łazienki. Stan Techniczny: Mieszkanie do kapitalnego remontu. W chwili obecnej w lokalu ogrzewanie wyłącznie z pieca kaflowego. Jest możliwość instalacji pieca gazowego gdyż w budynku dostępny jest gaz. Okna częściowo wymienione.  Dodatkowe Informacje:   Termin przekazania: natychmiast. Czynsz: około 150 zł (+ fundusz remontowy 150 zł), dodatkowo płatny prąd i gaz wg wskazań liczników. Zaplanowano remont klatki schodowej oraz renowację elewacji budynku.  Okolica: W bezpośrednim sąsiedztwie znajduje się przystanek autobusowy, a idąc przez Chodkiewicza również przystanek tramwajowy, zapewniające doskonały dojazd do centrum. W pobliżu znajdują się również sklepy Lewiatan, Żabka. Szkoła, przedszkole i żłobek.  Zapraszamy do kontaktu w celu umówienia się na prezentację mieszkania! Zapraszamy do kontaktu i umówienia się na prezentację, aby poznać szczegóły oferty. Nie przegap okazji i postaw na komfortowe mieszkanie na osiedlu Polonia! Oferujemy wsparcie doradcy kredytowego, doradcy podatkowego oraz pomoc prawną przy przygotowaniu umowy przedwstępnej. Doradca ds. Nieruchomości Properton Iwona Kasprowiak 723 925 539 Jako profesjonalne biuro nieruchomości pobieramy wynagrodzenie prowizyjne za wykonanie usługi pośrednictwa. 
 
Oferta wysłana z programu dla biur nieruchomości ASARI CRM () 
"
3 Pokojowe Mieszkanie ul. Malczewskiego,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-ul-malczewskiego-ID4r7kT,53.8,balkon,do remontu,parter/10,Forma własności,"Osiedle Słoneczne, Bielsko-Biała, śląskie",,379000,7045,640,3,"OFERTA WYŁĄCZNIE W NASZYM BIURZE! Zapraszamy na prezentację  3  pokojowego, jasnego mieszkania zlokalizowanego na  wysokim parterze  w 10-piętrowym bloku  na os. Słonecznym przy Ul. Majakowskiego 18 w Bielsku-Białej. Nieruchomość posiada powierzchnię  53,8m2 , dzięki którym po generalnym remoncie nada się idealnie dla rodziny z dziećmi. Mieszkanie zlokalizowane jest blisko szkoły podstawowej, placu zabaw, przystanków autobusowych, oraz wielu dróg dojazdowych. UKŁAD: Mieszkanie składa się ze jasnego, przestronnego salonu z wyjściem na balkon (strona południowa), dwóch niezależnych ustawnych sypialni, przedpokoju, kuchni z oknem, oraz łazienki z wanna. STAN:   - do remontu Mieszkanie wymaga gruntownego remontu. Łazienka posiada nowy piecyk gazowy (przy remoncie trzeba go obniżyć o około 15cm). Na podłodze panele, oraz płytki. Okna PCV 2 szybowe.  Czynsz stanowi ok. 640zł dodatkowo płatny prąd i gaz.   Ogrzewanie z sieci miejskiej w czynszu. LOKALIZACJA: Budynek po termomodernizacji, z zagospodarowanym otoczeniem. Dobra lokalizacja niedaleko centrum miasta w pobliżu dostępna infrastruktura handlowo-usługowa, szkoła, przedszkole, plac zabaw, przystanki autobusowe.  DODATKOWE INFORMACJE: Do mieszkania przynależy piwnica. Wejście do mieszkania poprzedzone korytarzem zamykanym na klucz, gdzie dzielimy przestrzeń użytkową (idealną na pozostawienie roweru) z 1 sąsiadem.  Stan klatki bardzo dobry - świeżo odmalowane Miejsce parkingowe dostępne pod blokiem. ZAPRASZAMY SERDECZNIE NA PREZENTACJĘ! Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Kamil Sowa (licencja nr: 22069)"
Mieszkanie Z Wizją Za Dobrą Cenę!,https://www.otodom.pl/pl/oferta/mieszkanie-z-wizja-za-dobra-cene-ID4ratq,65,balkon,do remontu,4-Feb,Forma własności,"Czechowice-Dziedzice, Czechowice-Dziedzice, bielski, śląskie",,375000,5769,850,3,"Na sprzedaż bardzo przestronne  3  pokojowe  mieszkanie w Czechowicach-Dziedzicach o powierzchni  65m2 . Znajduje się na  2 piętrze  w 4 piętrowym bloku bez windy. Świetna okazja inwestycyjna.  Jest możliwość przerobienia na 4 pokoje.  Idealny zakup dla większej rodziny ceniącej spokój i bliską odległość najpotrzebniejszych usług. Do remontu – dobra lokalizacja! W skład mieszkania wchodzą: -salon z balkonem francuskim -sypialnia -pokój z balkonem francuskim -korytarz -kuchnia -łazienka z wanną -odrębne wc Stan niereuchomości:  - do remontu Mieszkanie zachowane w dobrym stanie, natomiast dla bardziej wymagającego do generalnego remontu. Okna drewniane. Na podłogach panele, oraz płytki.  Lokalizacja: W pobliżu znajdziemy przedszkola, przychodnie, aptekę, stawy. Osiedle jest bardzo dobrze skomunikowane. Dodatkowe informacje: Do mieszkania przynależy piwnica ok. 4-5 m2.  Miejsce postojowe na parkingu wspólnym. Stan klatki - dobry. Bezproblemowi sąsiedzi.  Nieruchomość posiada 2 francuskie balkony. ZAPRASZAMY SERDECZNIE NA PREZENTACJĘ!   Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Kamil Sowa (licencja nr: 22069)"
Na Sprzedaż Mieszkanie W Czechowicach Dziedzicach,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-czechowicach-dziedzicach-ID4riyn,54.75,balkon,do remontu,4-Apr,Forma własności,"Czechowice-Dziedzice, Czechowice-Dziedzice, bielski, śląskie",,319000,5826,600,3,"OFERTA DOSTĘPNA WYŁĄCZNIE  W NASZYM BIURZE KUPUJĄCY NIE PŁACI PROWIZJI! NA SPRZEDAŻ MIESZKANIE W CZECHOWICACH DZIEDZICACH - 3 POKOJE Zapraszamy na prezentację przestronnego mieszkania na osiedlu Kopalnia w Czechowicach-Dziedzicach. Lokal znajduje się na 4 piętrze w niskim 4 piętrowym ocieplonym bloku. Prezentowane mieszkanie posiada duży salon, dwie niezależne sypialnie, przedpokój, kuchnię i łazienkę o całkowitej powierzchni 54,75 m2 + duży balkon i piwnicę.  STAN:  do remontu. Mieszkanie gotowe do nowej aranżacji, nieruchomość posiada zachęcający rozkład. Stan mieszkanie wymaga remontu bądź odświeżenia według uznania. Czynsz około 600 zł / 3 osoby / w tym fundusz remontowy 109,50 zł + prąd -wg zużycia.  Ogrzewanie oraz ciepła woda Z SIECI MIEJSKIEJ w czynszu! Blok jest ocieplony, klatka schodowa czysta i zadbana, zamykana domofonem. Pod blokiem znajduje się ogólnodostępny parking oraz plac zabaw. W sąsiedztwie Biedronka, szkoła podstawowa, przedszkole, przychodnia lekarska, kościół, a także przystanek autobusowy, świetny dostęp do obwodnicy. SERDECZNIE ZAPRASZAM NA PREZENTACJĘ! Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Kamil Sowa (licencja nr: 22069)"
Obrzeżna - mieszkanie 3 pokojowe- duży balkon 12m,https://www.otodom.pl/pl/oferta/obrzezna-mieszkanie-3-pokojowe-duzy-balkon-12m-ID4rjXn,57.19,"balkon, taras",do zamieszkania,3-Mar,pełna własność,"ul. Obrzeżna, Służew, Mokotów, Warszawa, mazowieckie","garaż/miejsce parkingowe,Obsługa zdalna",1355000,23693,790,3,"English below--->     Witam, na sprzedaż śliczne 3-pokojowe mieszkanie przy ulicy Obrzeżnej 3 w Warszawie w inwestycji Galeria Park Top o powierzchni 57,19m2.   Mieszkanie usytuowane jest na 3-cim, ostatnim piętrze z dużym balkonem.  DLA KOGO? Mieszkanie idealne jest dla rodziny z dziećmi lub pary, która chce wygodnie mieszkać. ATUTY NIERUCHOMOŚCI: -Mieszkanie jest w bardzo dobrym stanie, wykończone z dbałością o każdy szczegół, materiałami wysokiej jakości, odświeżone w 2022 roku z dużym wypustem okiennym. -Zakupu wraz z wyposażeniem (wysokiej jakości meble robione na wymiar wraz z nagłośnieniem Bose) -Zainstalowana została klimatyzacja (marki Daikin) w 2022 która jest na gwarancji. STANDARD I ROZKŁAD: Mieszkanie jest składa się z trzech przytulnych pokoi, funkcjonalnego aneksu kuchennego, eleganckiej łazienki oraz dużego balkonu 12,24m2, idealnego do relaksu po ciężkim dniu. Dodatkowo, apartament wyposażony jest w wysokiej jakości sprzęty AGD ułatwiające codzienne funkcjonowanie oraz klimatyzację sterowaną aplikacją ( 2 wewnętrzne klimatyzatory z jedno zewnętrzną jednostką centralną). Mieszkanie posiada kino domowe marki Bose.   Salon z aneksem kuchennym ma powierzchnię 29,62m2 i ekspozycję wschodnio-południową. Na szczególną uwagę zasługuje piękna kuchnia zrobiona pod wymiar, która ma bardzo funkcjonalny rozkład. Sypialnie mają kolejno 11,14m2 i 8,26m2. Dużym atutem jest wysokość mieszkania 275cm, dzięki czemu jest poczucie większej przestrzeni. BUDYNEK I OSIEDLE: Budynek z 2016 roku, 3-cio piętrowy, z windą i garażem podziemnym. Na dachu zainstalowana została fotowoltaika, która obniża koszty energii elektrycznej części wspólnych. Osiedle, na którym znajduje się mieszkanie, oferuje liczne udogodnienia, takie jak plac zabaw dla dzieci,  sklepy i restauracje i usługi na wyciągnięcie ręki. Na osiedlu znajduje się żłobek i przedszkole w okolicy znajdują się liczne szkoły. Atutem okolicy jest bliskość bazarku, aptek, Galerii Moktów, lotnisko czy też obwodnica Warszawy. Dogodny dojazd do centrum tramwajem. INFORMACJE DODATKOWE: Sprzedajemy w pełni wyposażone mieszkanie.  Do ceny mieszkania należy doliczyć jedno miejsce postojowe na poziomie -2 w cenie 50.000 pln oraz komórkę w cenie 30.000 pln Zapraszam serdecznie na prezentację.     Agencjom dziękuje za kontakt.      _     For sale: a beautiful 3-room apartment located at 3 Obrzeżna Street in Warsaw, in the Galeria Park Top investment, with an area of 57.19m2. The apartment is situated on the 3rd, top floor, with a large balcony.     FOR WHOM? The apartment is perfect for a family with children or a couple who want to live comfortably.     PROPERTY ADVANTAGES:- The apartment is in very good condition, finished with attention to every detail, using high-quality materials, refreshed in 2022 with a large bay window.- Purchase includes furnishings (high-quality custom-made furniture with Bose sound system).- Air conditioning (Daikin brand) installed in 2022, which is under warranty.     STANDARD AND LAYOUT:The apartment consists of three cozy rooms, a functional kitchenette, an elegant bathroom, and a large 12.24m2 balcony, perfect for relaxing after a hard day. Additionally, the apartment is equipped with high-quality household appliances that facilitate daily functioning and air conditioning controlled by an app (2 internal air conditioners with one external central unit). The apartment features a Bose home theater system.The living room with the kitchenette has an area of 29.62m2 and an east-south exposure. The beautiful custom-made kitchen, which has a very functional layout, deserves special attention. The bedrooms are 11.14m2 and 8.26m2 respectively. A significant advantage is the apartment’s height of 275cm, providing a sense of greater space.     BUILDING AND ESTATE:The building, constructed in 2016, is 3-story with an elevator and an underground garage. Photovoltaics installed on the roof reduce the electricity costs of common areas. The estate, where the apartment is located, offers numerous amenities such as a children's playground, shops, restaurants, and services at your fingertips. There is a nursery and kindergarten on the estate, and numerous schools in the vicinity. An advantage of the area is the proximity to a market, pharmacies, Galeria Mokotów, the airport, and the Warsaw bypass. Convenient tram access to the city center.     ADDITIONAL INFORMATION:We are selling a fully furnished apartment. The price of the apartment includes one parking space on level -2 for 50,000 PLN and a storage room for 30,000 PLN. You are warmly invited to the viewing.     No agency inquiries, please."
Nowa Cena | Rynek | 2 pok. | do wprowadzenia |,https://www.otodom.pl/pl/oferta/nowa-cena-rynek-2-pok-do-wprowadzenia-ID4p8lb,46.5,Balkon / ogród / taras,do zamieszkania,4-Feb,pełna własność,"rynek Rynek, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie",miejskie,739000,15892,700,2,"SUPER OFERTA W SAMYM CENTRUM! ZAPRASZAMY NA PREZENTACJĘ 7 DNI W TYGODNIU!  Effective-Home tel.796-390-303 MIESZKANIE W RYNKU przy ul.Kotlarskiej  3pok. w samym centrum Wrocławia! Mieszkanie jednostronne w kamienicy II piętro z IV. Strona świata: [pd.] Widok na ul.Kotlarską.  Mieszkanie jest do wprowadzenia!  Mieszkanie składa się zgodnie z KW z 46,5m2, tj.:  - pokój nr 1 ok.15,5m2 - pokój nr 2 ok.13m2 - kuchnia ok.9m2 - wc z łazienką ok.2,5m2 - przedpokój ok.6m2 - plus ekstra metraż komórka w której znajduje się pralka i nowy bojler ogrzewający wodę! Mieszkanie po kapitalnym remoncie kilka lat temu. Wszystkie ściany w gładzi. Podłoga panele. Okna PCV. Instalacja elektryczna miedź. Wejście do bramy od ul.Kotlarskiej oraz od podwórza z parkingu wydzielonego tylko dla mieszkańców wspólnoty. Ogrzewanie miejskie. Pełen rozkład, Umeblowanie w cenie! Opłaty ok.700 zł.  Effective-Home tel.796-390-303 Zapraszamy do zapoznania się z najaktualniejszą ofertą bankową, pod okiem eksperta w dziedzinie kredytów nieodpłatnie zweryfikujemy Państwa zdolność i sprawimy, że zakup mieszkania stanie się możliwy. Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego."
3-pokojowe mieszkanie 53m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-balkon-bez-prowizji-ID4nxEC,30.42,balkon,do wykończenia,4-Feb,pełna własność,"ul. Złota, Dąb, Katowice, śląskie",garaż/miejsce parkingowe,643080,12000,contact for details,3," numer A11   na 2. piętrze w Inwestycji Złota Apartamenty Dewelopera LV Development Park Śląski, Śląski Ogród Zoologiczny (4 minuty spacerem) Przystanek autobusowy (5 minut spacerem) Przystanek tramwajowy (12 minut spacerem) ALDI (6 minut spacerem) Silesia City Center, Cinema City (10 minut spacerem) Złota Apartamenty - poznaj inwestycję Złota Apartamenty – gotowe do odbioru VI 2024, mieszkania przy Parku Śląskim Mieszkania w stanie deweloperskim i wykończone pod klucz. Lokalizacja:  Inwestycja Złota Apartamenty znajduje się przy ulicy Złotej 69 w dzielnicy Dąb, Katowice, bezpośrednio przy Parku Śląskim, który jest znanym miejscem rekreacji i wypoczynku. To idealne rozwiązanie dla tych, którzy cenią sobie dostęp do zieleni bez rezygnacji z udogodnień miejskiego życia. Gotowość mieszkań:  Mieszkania będą gotowe do odbioru już w wakacje 2024 roku, co pozwala na szybkie wprowadzenie się i rozpoczęcie życia w nowym miejscu. Dodatkowo, w ofercie dostępne są zarówno mieszkania w stanie deweloperskim, jak i pięć kluczowych apartamentów wykończonych ""pod klucz"", które są gotowe do natychmiastowego wprowadzenia się. Apartamenty Złota  to nowoczesny budynek z 63 mieszkaniami i penthouse’ami, których powierzchnia waha się od 30,42 m² do 234 m². Mieszkania rozmieszczone są na 4 piętrach w 3 klatkach schodowych, każda z windą. Oferujemy elastyczność w postaci możliwości łączenia mieszkań, z ogrodami, tarasami lub balkonami, zapewniając przestrzeń odpowiednią dla każdego. Atuty inwestycji: Bezpośrednie sąsiedztwo Parku Śląskiego: Zapewnia dostęp do ponad 600 ha zieleni, idealne dla miłośników aktywności na świeżym powietrzu oraz rodzin z dziećmi. Udogodnienia: Dla wygody mieszkańców przygotowaliśmy 79 miejsc postojowych oraz 59 komórek lokatorskich.  Komunikacja i dostępność: Usytuowanie w centrum regionu zielonych płuc Śląska przy licznych trasach rekreacyjnych, kortach tenisowych oraz ścieżkach rowerowych. Informacje finansowe: Ceny: Mieszkania w cenach od 9950 zł/m2 Miejsce postojowe w garażu podziemnym od 39 900 zł; komórka lokatorska: 4 000 zł/m². Harmonogram płatności: 90% do maja 2024, 10% do 30.06.2024 Złota Apartamenty - lokalizacja Dąb, ul. Złota 69 2,5 km do centrum 5 min. spacerem do przystanku autobusowego 12 min. spacerem do przystanku tramwajowego dojazd do centrum: 14 min samochodem Istotne punkty w okolicy inwestycji Śląski Park Linowy (271 m, 4 minuty spacerem) Przystanek autobusowy (353 m, 5 minut spacerem) Apteka (426 m, 6 minut spacerem) Szkoła Podstawowa (478 m, 7 minut spacerem) Ogród zoologiczny (558 m, 7 minut spacerem) Weterynarz (639 m, 8 minut spacerem) Lekarz (659 m, 9 minut spacerem) Piekarnia (664 m, 9 minut spacerem) Poczta (736 m, 10 minut spacerem) Restauracja (736 m, 10 minut spacerem) Przedszkole (814 m, 10 minut spacerem) Przystanek tramwajowy (921 m, 12 minut spacerem) Oferta pochodzi z serwisu obido"
3-pokojowe mieszkanie 65m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-balkon-bezposrednio-ID4roIV,65,balkon,do wykończenia,3-Mar,pełna własność,"ul. Radiowa, Koninko, Kórnik, poznański, wielkopolskie",garaż/miejsce parkingowe,454779,6900,contact for details,3," numer H-3.03   na 3. piętrze w budynku H w Inwestycji Koninko Dewelopera Akropol Inwestycje Jezioro Koninko (2 minuty spacerem) Jezioro Kórnickie (14 minut samochodem) Przystanek autobusowy (6 minut spacerem) Stacja PKP ""Gądki"" (5 minut samochodem) Biedronka (7 minut samochodem) Koninko - poznaj inwestycję Inwestycja Koninko to  osiedle 3-piętrowych budynków , po 4 mieszkania na każdym piętrze. Na całość składają się lokale 2-pokojowe, 3-pokojowe i 4-pokojowe. Mieszkania 2-pokojowe posiadają pokój dzienny z aneksem kuchennym, jedną sypialnię i łazienkę, 3-pokojowe mają dwie sypialnie, a 4-pokojowe trzy. Do mieszkań na parterze przynależy  ogródek , natomiast do mieszkań na wyższych kondygnacjach –  balkon .  Osiedle zaprojektowane jest w sposób ergonomiczny i uporządkowany. W planie inwestycji znajdują się nie tylko budynki, ale też ciągi komunikacyjne, miejsca postojowe przynależące do lokali oraz plac zabaw dla najmłodszych. Koninko - lokalizacja Na południe od Poznania, ul. Radiowa, Koninko 1,6 km do granicy miasta 7 min. spacerem do przystanku autobusowego dojazd do centrum: 25 min samochodem Istotne punkty w okolicy inwestycji Przystanek autobusowy (530 m, 7 minut spacerem) Przedszkole (709 m, 9 minut spacerem) Apteka (748 m, 10 minut spacerem) Oferta pochodzi z serwisu obido"
3-pokojowe mieszkanie 59m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4hHGG,98,balkon,do wykończenia,6-Jan,pełna własność,"ul. Naramowicka, Winogrady, Stare Miasto, Poznań, wielkopolskie",garaż/miejsce parkingowe,721378,12204,contact for details,3," numer 106A/09   na 1. piętrze w budynku 106A w Inwestycji Naramowicka 106 Dewelopera Pekabud-Morasko Inwestycje Sp. z o.o. Park Jurija Gagarina (8 minut rowerem) Park Cytadela (11 minut rowerem) Przystanek tramwajowy (1 minuta spacerem) Biedronka (2 minuty spacerem), Lidl (7 minut spacerem) CH Poznań Plaza i Galeria Pestka (9 minut samochodem) Stacja PKP Poznań Wschód (9 minut samochodem) Naramowicka 106 - poznaj inwestycję Inwestycja Naramowicka 106 składa się z  2 kameralnych budynków , które wyróżniają się nowoczesną architekturą i materiałami najwyższej jakości. Mieszkania posiadają komfortowe układy – 1-, 2-, 3- i 4-pokojowe – oraz funkcjonalne metraże od 26 do 98 m². Do każdego mieszkania przynależy  ogródek, taras lub ogródek  o wielkości min. 5,6 m², a także niezależne miejsca postojowe naziemne oraz w garażu podziemnym. Standardem inwestycji jest odpowiednie ocieplenie elewacji oraz  okna trzyszybowe  z kasetą umożliwiającą montaż rolety zewnętrznych. Na terenie osiedla zaplanowano monitoring części wspólnych, wideodomofony, fotowoltaikę oraz liczne miejsca rowerowe i  miejsca postojowe w garażu podziemnym  z opcją zamontowania gniazd do ładowania samochodów elektrycznych. Mieszkania wyróżniają się standardem premium i są gotowe do odbioru. Naramowicka 106 - lokalizacja Winogrady, ul. Naramowicka 3,5 km do centrum 1 min. spacerem do przystanku autobusowego 3 min. spacerem do przystanku tramwajowego dojazd do centrum: 13 min samochodem Istotne punkty w okolicy inwestycji Przystanek autobusowy (6 m, 1 minuta spacerem) Sklep: Biedronka (137 m, 2 minuty spacerem) Przystanek tramwajowy (148 m, 3 minuty spacerem) Restauracja (285 m, 4 minuty spacerem) Przedszkole (292 m, 5 minut spacerem) Szkoła Podstawowa (458 m, 7 minut spacerem) Sklep: Lidl (564 m, 8 minut spacerem) Piekarnia (613 m, 9 minut spacerem) Apteka (634 m, 9 minut spacerem) Weterynarz (681 m, 10 minut spacerem) Poczta (707 m, 10 minut spacerem) Oferta pochodzi z serwisu obido"
