area,balcony_garden,finish_condition,floor,form_of_ownership,listing_description,location,parking_space,price,price_per_m2,rent,rooms,title,url
20.0,Balkon / ogród / taras,do wykończenia,1/11,pełna własność,"Bardzo  ustawne 3 pokojowe mieszkanie  w świetnej lokalizacji zdala od centrum w stanie deweloperskim.  Idealne pod kredyt ""Mieszkanie na start""! ZADZWOŃ I UMÓW SIĘ NA SPOTKANIE! Do oddania w IV kwartale 2025 roku. OPIS MIESZKANIA Mieszkanie składa się z: Pokóju z aneksem kuchennym  - 20m2 - świetna przestrzeń na kuchnię wraz ze częścią jadalną oraz narużnikiem Sypialni 1  - 13m2 Sypialni 2  - 10,4m2 Łazienki  - 4,4m2 - możliwość montażu wanny lub prysznica Przedpokoju  - 6,8m2 Balkonu  - 12,6m2 Mieszkanie przestronne jasne i bardzo ustawne. Z każdego pokoju osobne wyjście na balkon. Stan deweloperski - nowa inwestycja. Jest idealne dla pary, rodziny z dziecmi, studentów oraz pod wynajem. LOKALIZACJA KOMUNIKACJA Dobra lokalizacja dla zamieszkania się. Blizkość komunikacji miejskiej: Przystanek autobusowy  - 500m Przystanek tramwajowy  - 500m PKP Prokocim  - 7min autem Rynek Główny  - 7km Blizkość obwodnicy E40. Plac zabaw, parki, ośrodki sportowe, szkoły, przedszkole, żłobki. Wszystkie niezbędne punkty usługowo handlowe oraz szybki dojazd do centrum. DLACZEGO MY? Jesteśmy  Liderem Jakości PRO  według Otodom! Pomożemy Ci przebrnąć przez cały proces zakupu. Nie płacisz prowizji!  Pomagamy Ci w wyborze najlepszego mieszkania! Posiadamy dostęp do dużej bazy ofert nieruchomości na terenie Krakowa i okolic. Negocjujemy  indywidualne rabaty  dla Klientów u Deweloperów. FINANSE Cena za mieszkanie to  809 900 zł  ! Kupujący  nie płaci PCC  oraz prowizji dla biura nieruchomości. ZADZWOŃ I UMÓW SIĘ NA PREZENTACJĘ! TO NIC NIE KOSZTUJE! Zapraszam serdecznie do kontaktu, odbieram również wieczorami oraz w miarę możliwości w weekendy. Marta Petlovana *Zdjęcie jest wizualizacją, tak może wyglądać Twoje mieszkanie! Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 1 Kodeksu Cywilnego","ul. Szpakowa, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie","garaż/miejsce parkingowe,miejskie",809900.0,14806.0,550.0,3 ,Idealne pod kredyt na start! Super okolica!Zobacz!,https://www.otodom.pl/pl/oferta/idealne-pod-kredyt-na-start-super-okolica-zobacz-ID4rNvF
12.3,balkon,do wykończenia,7/11,pełna własność,"To mieszkanie jest idealne dla osób ceniących komfort i  bliskość natury . Położone na rozwijającym się osiedlu, oferuje łatwy dostęp do komunikacji miejskiej, ułatwiając codzienne dojazdy. W pobliżu znajduje się zielona okolica i malowniczy  park rzeczny , doskonały na poranne bieganie i wieczorne spacery. To idealne miejsce dla tych, którzy chcą uciec od miejskiego zgiełku i cieszyć się spokojem w  swoim domu . 1.OPIS MIESZKANIA Mieszkanie składa się z: Sypialni  - 12,3 m2 - przestronna, miejsce na dużą szafę, wyjście na balkon. Salonu z aneksem  - 15,2 m2 - duże okno, przestrzeń na narożną sofę. Przedpokoju  - 7,5 m2 - otwarty na salon z miejscem na szafę. Łazienki  - 4,4 m2 - ustawna, wstawisz pralkę. Balkonu  - 9,1 m2 - dużo miejsca na wypoczynek, eskpozycja północna-zachodnia.   2.LOKALIZACJA - KOMUNIKACJA - Komunikacja miejska: Osiedle Piaski Nowe znajduje się w odległości około 6 km od centrum Krakowa. Komunikacja miejska zapewnia szybki dojazd na obszarze całego miasta. Szczególnie wygodnym środkiem komunikacji są nowoczesne tramwaje kursujące na pętlę Kurdwanów. - Szybki dojazd na Ruczaj dzięki trasie Łagiewnickiej. - Szybki dojazd do węzła Łagiewnickiego, a co za tym idzie do obwodnicy Krakowa. - W sąsiedztwie znajduje się park rzeczny i ścieżki rowerowe.   3.INFRASTRUKTURA - Na terenie osiedla znajdują się sklepy, w tym supermarket “Stokrotka”, oraz  różne punkty usługowe . Jest również urząd  pocztowy  i filia Podgórskiej Biblioteki Publicznej. - Centrum sportowe z  basenem  5min samochodem. - Szpital im. Św. Rafała 5 min pieszo. 4.DLACZEGO Z NAMI WARTO KUPIĆ MIESZKANIE? - Posiadamy dostęp do dużej bazy ofert - Jesteśmy wyspecjalizowani  w tym co robimy! - Współpracujemy z doradcą finansowym -  Negocjujemy  ceny u deweloperów  - Sprawnie przeprowadzimy przez cały proces zakupu - Przygotujemy całą dokumentację  5.FINANSE: -Cena za mieszkanie  637 500 zł! -Możliwość zakupu miejsca postojowego i komórki lokatorskiej -Brak PCC! -Brak prowizji dla biura nieruchomości  (kupujący nie płaci prowizji, oszczędzasz kilkanaście tysięcy złotych!) Wyjątkowe mieszkanie ! Nie zwlekaj, zadzwoń już teraz i umów się na prezentację. Jestem dostępny również  po południu i w weekendy . Paweł Cerklewicz Zdjęcie w ogłoszeniu to wizualizacja - właśnie tak może wyglądać  Twoje mieszkanie!  Współpracujemy z renomowaną firmą remontową, która zadba o jego wykończenie specjalnie dla Ciebie. Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego","ul. Nowosądecka, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie","garaż/miejsce parkingowe,Obsługa zdalna",637500.0,16180.0,400.0,2 ,Idealne dla Ciebie! Zobacz już dziś!,https://www.otodom.pl/pl/oferta/idealne-dla-ciebie-zobacz-juz-dzis-ID4rNvE
37.0,Balkon / ogród / taras,do zamieszkania,4/4,spółdzielcze wł. prawo do lokalu,"Ofertą sprzedaży jest 2 pokojowe mieszkanie o powierzchni 37 m2, znajdujące się w Różanie, ul. Gdańska. Mieszkanie odświeżone - gotowe do zamieszkania! *W okolicy sklepy, markety, Zespół Szkół Zawodowych, place zabaw, szkoła. *Mieszkanie bez obciążeń z księgą wieczystą. *Fajnie sprawdzi się jako lokata kapitału, można je z sukcesem wynajmować. Nieruchomość składa się z następujących pomieszczeń: **Kuchnia wraz zabudową meblową i AGD **Łazienka z WC **Pokój **Salon **Hall wraz z szafą w zabudowie     Nie czekaj....jedyna taka oferta w Różanie. Dostępne od zaraz!    Zapraszam na prezentację.   Monika Dymińska   606-450-744","ul. Gdańska, Różan, Różan, makowski, mazowieckie","kotłownia,W trakcie realizacji / Zwolnione",247000.0,6676.0,450.0,2 ,2 pokojowe mieszkanie w centrum Różana,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-centrum-rozana-ID4rg6H
35.22,Balkon / ogród / taras,do wykończenia,4/4,pełna własność,"Na sprzedaż oferuję mieszkanie 35,22 m2 w inwestycji zlokalizowanej w dzielnicy Stare Podgórze w Krakowie. Dokładna lokalizacja: ul. Kalwaryjska 72.  Mieszkanie składa się z pomieszczenia open space, korytarza, łazienki.  Dzięki korzystnemu rozkładowi, istnieje możliwość wydzielenia 3 osobnych sypialni.  W najwyższym punkcie mieszkanie jest bardzo wysokie - prawie 4 metry.  Ekspozycja mieszkania: wschodnia.  Mieszkanie jest sprzedawane w stanie surowym - wymagane jest doprowadzenie mieszkania do stanu deweloperskiego.  Mieszkanie zlokalizowane jest na 4 piętrze w kamienicy po generalnym remoncie / rewitalizacji.  Media w budynku są miejskie, wszystkie opomiarowane. Liczniki mediów zamontowano na klatkach schodowych.  W lokalach zamontowano okna trzyszybowe PCV.  Budynek zlokalizowany zaraz przy przystanku tramwajowym i w pobliżu Ronda Matecznego.  Istnieje możliwość wykończenia mieszkania pod klucz. Współpracujemy z firmami budowlanymi, które kompleksowo zajmują się wykończeniem mieszkań w nowych inwestycjach do stanu gotowego do zamieszkania. Mieszkanie jest gotowe do odbioru. Zakup mieszkania jest możliwy tylko za gotówkę lub zabezpieczenie kredytu na innej nieruchomości.  Bogata infrastruktura w okolicy (sklepy, apteki, uczelnie wyższe, biurowce). Zakup mieszkania z podatkiem PCC 2%.   Możliwość oglądania inwestycji codziennie w dni robocze. Zapraszam do kontaktu i umawiania się na prezentacje. Współpracujemy z doradcami kredytowymi, którzy kompleksowo pomagają w uzyskaniu kredytu hipotecznego na zakup wymarzonego lokalu mieszkalnego.","ul. Kalwaryjska, Stare Podgórze, Podgórze, Kraków, małopolskie",,528300.0,15000.0,contact for details,2 ,Aktualne Stare Podgórze Kalwaryjska Inwestycyjne,https://www.otodom.pl/pl/oferta/aktualne-stare-podgorze-kalwaryjska-inwestycyjne-ID4rNvJ
73.6,balkon,do remontu,1/3,pełna własność,"Do sprzedania mieszkanie przygotowane do wynajmu na pokoje. Mieszkanie położone na pierwszym piętrze 3-piętrowego, bloku przy ulicy Iwaszkiewicza, osiedle Mleczna. Nieruchomość położona 12 minut spacerkiem od Uniwersytetu Warmińsko-Mazurskiego oraz 15 minut od starówki. Pełna infrastruktura handlowo usługowa. Blisko sklepy (Biedronka), piekarnia, apteka, szkoła podstawowa, przedszkole. W niedalekiej odległości przystanki MPK (numery linii: 103,107,109,113,115,122,128). Budynek z 1997 roku, po termoizolacji. Czysta klatka schodowa. Miejsca parkingowe przy budynku.  Mieszkanie w pełni rozkładowe, pięciopokojowe, z oddzielną, widną kuchnią, osobną toaletą. Pokoje nieprzechodnie o różnych powierzchniach. Przy jednym z nich loggia. Całkowita powierzchnia użytkowa mieszkania wynosi 73,6m2. Do mieszkania przynależy piwnica. Mieszkanie dwustronne - wschód i zachód. Okna trzech pokoi wychodzą na ulicę, z pozostałych widać zabudowę niską, plac zabaw oraz tereny zielone. Mieszkanie w stanie zadowalającym, pozwalającym bezinwestycyjnie kontynuować wynajem. Mieszkanie częściowo wynajęte.  Opłaty do spółdzielni mieszkaniowej wraz z zaliczkami na ogrzewanie oraz funduszem remontowym oraz wodą i śmieciami około 1000zł przy 4 osobach. Posiadamy więcej ofert mieszkań podobnych. W celu zapoznania się z ofertą zapraszamy na stronę internetową naszego biura. Zapraszamy również do bezpłatnych konsultacji z naszymi doradcami kredytowymi!! Zbadają twoją zdolność kredytową oraz najlepiej dobiorą ofertę kredytową do twoich potrzeb. Osoba odpowiedzialna zawodowo za realizację niniejszej oferty posiada licencję numer 17065. Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, 1. Kodeksu Cywilnego. Pośrednik nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.","ul. Jarosława Iwaszkiewicza, Podgrodzie, Olsztyn, warmińsko-mazurskie","Miejsce parkingowe,miejskie",575000.0,7813.0,contact for details,5 ,"5 pokoi, oddzielna kuchnia - Iwaszkiewicza 40",https://www.otodom.pl/pl/oferta/5-pokoi-oddzielna-kuchnia-iwaszkiewicza-40-ID4rNvI
53.0,"ogródek, taras",do wykończenia,1/2,pełna własność,"Na sprzedaż oferuję apartament o funkcji mieszkalnej o metrażu 53 m2 w inwestycji zlokalizowanej przy ul. Tynieckiej w Krakowie.  Apartament składa się z: salonu z aneksem kuchennym, dwóch osobnych sypialni, łazienki i przedpokoju.  W mieszkaniu zainstalowano ogrzewanie podłogowe.  Wysokość: 3,4 metra.  Okna w lokalu są trzyszybowe.  Ekspozycja apartamentu: zachodnia.  Do mieszkania przynależy duży taras zlokalizowany w cichej części osiedla z widokiem na dom jednorodzinny, a z drugiej strony ogród z widokiem na tereny zielone.  Ogród jest ogrodzony ogrodzeniem panelowym.  Mieszkanie jest sprzedawane w stanie deweloperskim. Lokal jest już gotowy do odbioru.  Budynek otrzymał pozwolenie na użytkowanie.  Do lokalu przynależy miejsce postojowe naziemne zlokalizowane obok budynku za szlabanem w dodatkowej cenie 30 000 zł.  Istnieje możliwość wykończenia mieszkania pod klucz. Współpracujemy z firmami, które kompleksowo zajmują się wykończeniem mieszkań ze stanu deweloperskiego. Budynek został wybudowany w wysokim standardzie części wspólnych. Media są opomiarowane, liczniki zlokalizowano na klatkach schodowych. Ogrzewanie mieszkań ze wspólnej kotłowni gazowej, która jest zlokalizowana w budynku.  Na inwestycji zamontowano monitoring i wideodomofony.  Teren jest w pełni ogrodzony, wjazd na teren za pomocą szlabanu na pilota. W inwestycji zaprojektowano 23 apartamenty, jest kameralnie i cicho, a zarazem bardzo blisko centrum Krakowa.  Inwestycja zlokalizowana jest blisko lotniska w Balicach, obwodnicy oraz autostrady A4. Możliwość oglądania inwestycji codziennie. Zakup mieszkania bez podatku PCC (faktura VAT 23% w cenie).  Zakup tylko dla klientów gotówkowych.  Zapraszam do kontaktu i umawiania się na prezentacje mieszkania.","ul. Tyniecka, Bodzów, Dębniki, Kraków, małopolskie","garaż/miejsce parkingowe,Obsługa zdalna",749000.0,14132.0,550.0,3 ,Aktualne 3 Pokoje Taras Podgórze Tyniecka Gotowe,https://www.otodom.pl/pl/oferta/aktualne-3-pokoje-taras-podgorze-tyniecka-gotowe-ID4rNvL
48.0,"ogródek, taras",do zamieszkania,parter/2,pełna własność,"Biuro Reformacka Nieruchomości  ma przyjemność przedstawić  mieszkanie z ogrodem,  usytuowane na parterze dwupiętrowego  bloku, przy  ul. Załęskiej (niedaleko budynku Asseco Poland). Powierzchnia całkowita: ok. 48 m2 (z dodatkowym mini pokojem) Powierzchnia użytkowa: 41,40 m2 Mieszkanie jest sprzedawane z wyposażeniem widocznym na zdjęciach prócz wyposażenia pokoju dziecięcego. Atuty nieruchomości: - lokalizacja (4 km od Centrum Rzeszowa), - klimatyzacja, - rolety zewnętrzne i wewnętrzne, - taras z ogrodem o powierzchni ok. 100m2, - idealne mieszkanie inwestycyjne lub dla rodziny z dziećmi, - 2 osobne pokoje + 1 mini pokoik,  - duży prywatny parking naziemny przynależny do inwestycji, - mieszkanie utrzymane w bardzo dobrym stanie - gotowe do wprowadzenia się, - blisko do kluczowych miejsc i placówek oświaty. UKŁAD MIESZKANIA: - hall, - łazienka z wanną, - pokój 1 z wyjściem na taras i ogród, - sypialnia z drabinką do mini pokoju, - kuchnia. DO MIESZKANIA PRZYNALEZY: - komórka lokatorska o powierzchni 2,26 m2, - taras z ogrodem, - duży parking naziemny, - mini pokój o powierzchni 8m2. MEDIA: - czynsz w wysokości ok. 720 zł (dla 4 osób), - prąd wg. zużycia. LOKALIZACJA:  - niedaleko ronda im. Jacka Kuronia - bdb zjazd na S19, - Spar 1,5 km, - Lidl - 1,5km, - Galeria Millenium Hall - 1km, - Szpital nr. 2 - 1,4 km, - szkoła podstawowa 2km, - przystanek autobusowy 230m. Zainteresowane osoby zapraszam na prezentacje.","ul. Załęska, Załęże, Rzeszów, podkarpackie","garaż/miejsce parkingowe,Obsługa zdalna",479000.0,9979.0,720.0,2 ,100 m2 ogrodu ! | 2 osobne sypialnie + mini pokój,https://www.otodom.pl/pl/oferta/100-m2-ogrodu-2-osobne-sypialnie-mini-pokoj-ID4rNvN
110.0,garaż/miejsce parkingowe,1/4,balkon,Forma własności,"Marzysz o dużej przestrzeni dla swojej rodziny bez wyprowadzki za miasto? Zależy Ci na zieleni za oknem a jednocześnie pełnym dostępie do komunikacji i infrastruktury? Chcesz wprowadzić się od razu bez czekania na oddanie inwestycji i czasochłonnych remontów? TA OFERTA BĘDZIE DLA CIEBIE IDEALNA! Na sprzedaż   oryginalne, bardzo rzadko spotykane na rynku mieszkanie  dwupoziomowe  wraz z przynależnym garażem, piwnicą oraz balkonem. Prawdziwa perła wśród dostępnych nieruchomości w mieście. Mieszkanie usytuowane jest w cichej i zielonej okolicy Rataj okolice ul. Inflanckiej Na miejscu pełen dostęp do infrastruktury usługowo handlowej Komunikacja MPK i BUS w odległości kilku minut pieszo. Dla fanów rekreacji ruchowej jez. Maltańskie, Wartostrada, mnóstwo tras rowerowych i spacerowych. W skład mieszkania o pow. 110m2 wchodzi: Poziom I (pietro 1) salon z aneksem kuchennym WC przedpokój pomieszczenie gospodarcze Poziom II (piętro 2) sypialnia I + balkon sypialnia II sypialnia III łazienka z WC dodatkowo: piwnica garaż 1 stanowiskowy Lokal wolne od zaraz. Gotowe na przybycie nowych właścicieli. Ogromny potencjał mieszkalny oraz inwestycyjny ( z uwagi na bliskość uczelni możliwość uzyskania wysokiej stopy zwrotu z najmu) Wejście do wszystkich pomieszczeń niezależne z przedpokoju. Ekspozycja okien na wschód zachód daje pełne doświetlenie pomieszczeń do późnych godzin. Na podłogach wysokiej jakości panele, na ścianach gładzie. W kuchni zabudowa szaf i szuflad oraz pełne wyposażenie AGD - lodówko zamrażarka, zmywarka, płyta indukcyjna, okap, piekarnik, kuchenka mikrofalowa W łazience wanna. Wc osobno na poziomie I. Całość wyłożona płytkami. Sypialnie duże, ustawne z wieloma możliwościami aranżacyjnymi. Świetnie spełnią też funkcję pokoi gościnnych, bawialni dla dzieci, gabinetu do pracy czy też garderoby. Do mieszkania przynależy garaż jednostanowiskowy w cenie 30 000zl  Serdecznie zapraszamy na prezentację klientów gotówkowych i kredytowych. Mieszkanie wolne od zaraz. Opiekun oferty: Agata Kosicka Shark nieruchomości tel. 515641295 Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","Żegrze, Nowe Miasto, Poznań, wielkopolskie",,950000.0,8636.0,contact for details,4 ,Przestronne - 2 poziomowe mieszkanie **Rataje**,https://www.otodom.pl/pl/oferta/przestronne-2-poziomowe-mieszkanie-rataje-ID4rNvM
58.59,"balkon, ogródek, taras",do zamieszkania,parter/2,pełna własność,"Na sprzedaż wyjątkowe mieszkanie o powierzchni 58.59m², położone w kameralnej inwestycji oddanej w 2019 roku (zamieszkane od 2020 roku) – Apartamenty Park Drużynowa. Osiedle jest ogrodzone i monitorowane.     Mieszkanie znajduje się na wysokim parterze i składa się z:       Korytarza   Salonu z kuchnią w aneksie   Łazienki   Dwóch sypialni       Mieszkanie posiada duży balkon (7m²), z którego można zejść na przepiękny ogród o powierzchni 99m². Ogród jest pełen nasadzeń (ponad 30 drzewek), które doskonale oddzielają go od ulicy, zapewniając prywatność i spokój. W ogrodzie znajduje się również furtka, umożliwiająca bezpośrednie wyjście z nieruchomości, co zapewnia 2 odrębne wejścia do mieszkania.     Lokalizacja:     Bliskość do sklepów, szkół, przedszkoli, aptek.   Dobre połączenia komunikacyjne (bliskość przystanków autobusowych).   Sąsiedztwo parków.       Atuty nieruchomości:     Wysoki parter z dużym ogrodem (99m²)   Wygodne miejsce postojowe w przestronnym garażu – dodatkowo płatne 50 tys. Zł   Duża komórka lokatorska (6,9m²) – znajduje się bezpośrednio pod mieszkaniem - dodatkowo płatna 15 tys. Zł   Możliwość parkowania auta bezpośrednio przy ogrodzie (wygodne w przypadku posiadania drugiego auta)   Dostępna rowerownia dla mieszkańców (zamykana na klucz)   Mieszkanie zaprojektowane przez projektantkę   Zamontowany system alarmowy   Rolety zewnętrzne   Zamontowany i podłączony zbiornik na deszczówkę w ogrodzie + doprowadzenia do podlewania drzewek   Wysokiej jakości sprzęt AGD w kuchni   Zamontowana armatura premium (przykładowo umywalka Sanitti Tre, armatura Omnires)   Pełna własność z Księgą Wieczystą, brak obciążeń hipotecznych, sprzedaż bezpośrednia od pierwszych właścicieli       Możliwość natychmiastowego wprowadzenia się (mieszkanie jest urządzone)          Mieszkanie wykończone w standardzie premium, większość mebli wykonana na wymiar przez stolarza, co pozwoliło na optymalne wykorzystanie przestrzeni i zapewnienie dużej ilości szaf do przechowywania.   Meble na wymiar znajdują się w łazience, kuchni, korytarzu oraz głównej sypialni.     Okolica jest bardzo zielona i spokojna, idealna dla osób ceniących sobie ciszę oraz bliskość natury, a jednocześnie zapewniająca szybki dojazd do centrum Łodzi (10 minut do Manufaktury).     Zapraszamy do kontaktu i obejrzenia mieszkania na żywo!   Pośrednikom dziękujemy!","Złotno, Polesie, Łódź, łódzkie","garaż/miejsce parkingowe,Obsługa zdalna",675000.0,11521.0,700.0,3 ,Mieszkanie 58m² z dużym ogrodem w cichej okolicy,https://www.otodom.pl/pl/oferta/mieszkanie-58m-z-duzym-ogrodem-w-cichej-okolicy-ID4rNvk
64.0,balkon,do wykończenia,4/5,spółdzielcze wł. prawo do lokalu,"Oferuję na sprzedaż 3-pokojowe, 64-metrowe mieszkanie, świeżo po remoncie przy ul. Insurekcyjnej 6 w Ostrołęce. Mieszkanie dwustronne z dużym balkonem, w świetnej lokalizacji, dostępne ""od ręki"". - 64 m2, 3 pokoje, 4 piętro - salon z wyjściem na balkon - kuchnia zabudowana i wyposażona w sprzęt AGD - 2 sypialnie - łazienka z wc i wanną - przedpokój","ul. Insurekcyjna, Ostrołęka, mazowieckie","Miejsce parkingowe,miejskie",390000.0,6094.0,620.0,3 ,"Po remoncie, super lokalizacja!",https://www.otodom.pl/pl/oferta/po-remoncie-super-lokalizacja-ID4qwbm
12.4,balkon,Stan wykończenia,1/4,pełna własność,"Biuro Idea Nieruchomości proponuje do sprzedania czteropokojowe mieszkanie położone na pierwszym piętrze w budynku przy ul. Bartąskiej 3M w Olsztynie - inwestycja Villa Solaris Piękne odosobnione, otoczone zielenią miejsce w centrum Jarot. Osiedle zamykane bramą na pilota, do dyspozycji mieszkańców duży parking oraz plac zabaw. Mieszkanie czteropokojowe z kuchnią w formie aneksu przy pokoju dziennym. Z pokoju dziennego wyjście na przestronny balkon - 12,4m2. Wysokość pomieszczeń to 280cm. Powierzchnie poszczególnych pomieszczeń prezentują się następująco: - pokój dzienny z aneksem kuchennym - 24,02m2 - sypialnia 9,22m2 - sypialnia 9,90m2 - kuchnia 8,22m2 - toaleta 1,9m2 - łazienka 4,54m2 Mieszkanie o powierzchni 74,81m2 w tym powierzchnia piwnicy 2,87m2. Mieszkanie w stanie bardzo dobrym, nie wymagające nakładów finansowych, gotowe do zamieszkania. W kuchni zabudowa z niezbędnym sprzętem AGD. W każdej z trzech sypialni szafa na wymiar. W przedpokoju dwie szafy w zabudowie.  Czynsz z zaliczkami na ogrzewanie, funduszem remontowym wynosi 700zł. W bliskiej lokalizacji przystanki autobusowe, linie tramwajowe, sklepy spożywcze, kościół, przychodnia, poczta, Biedronka, Żabka. Wystawa okienna dwustronna - salon południowy zachód, sypialnie północny wschód. Wraz z mieszkaniem sprzedawane jest miejsce parkingowe w garażu pod budynkiem, dostęp windą. Miejsce o wymiarach 6,62m x 2,9m płatne dodatkowo 40 tys. zł. Zapraszamy również do bezpłatnych konsultacji z naszymi doradcami kredytowymi!! Zbadają twoją zdolność kredytową oraz najlepiej dobiorą ofertę kredytową do twoich potrzeb. Niniejsze ogłoszenie jest wyłącznie informacją handlową i nie stanowi oferty w myśl art. 66, 1. Kodeksu Cywilnego. Pośrednik nie odpowiada za ewentualne błędy lub nieaktualność ogłoszenia.","ul. Bartąska, Osiedle Generałów, Olsztyn, warmińsko-mazurskie","garaż/miejsce parkingowe,miejskie",729000.0,9745.0,700.0,4 ,Villa Solaris - 4 pokoje plus parking podziemny,https://www.otodom.pl/pl/oferta/villa-solaris-4-pokoje-plus-parking-podziemny-ID4rNvO
39.0,balkon,do wykończenia,3/3,pełna własność," numer O 3.11a   na 3. piętrze w budynku O w Inwestycji Nowy Sikornik Dewelopera Jantar Investment Teren spacerowy ""Wilcze Doły"" (15 minut spacerem) Przystanek autobusowy (2 minuty spacerem) Rynek w Gliwicach (12 minut rowerem) Biedronka (3 minuty samochodem) Centrum outletowe, Auchan (8 minut samochodem) Pływalnia ""Mewa"" (5 minut samochodem) Wjazd na A4 (6 minut samochodem) Nowy Sikornik - poznaj inwestycję Nowy Sikornik to  kilkuetapowe osiedle , na którym powstanie łącznie ponad 800 mieszkań o różnorodnych metrażach i praktycznych układach. W ofercie są lokale z balkonami, loggiami i ogródkami, a także  dwupoziomowe apartamenty  z tarasami, zlokalizowane na najwyższej kondygnacji. Wszystkie mieszkania będą miały dostęp do ekologicznego ogrzewania, które będzie dostarczane przez miejskie PEC. Komfort codziennego życia na osiedlu podniesie infrastruktura towarzysząca: sklepy,  siłownia zewnętrzna , place zabaw i  przedszkole .   Osoby zmotoryzowane będą miały do dyspozycji garaże podziemne – wraz z komórkami lokatorskimi – i parking naziemny. Zadbano też o nowoczesne i cichobieżne  windy  oraz czujniki czystości powietrza. Nowy Sikornik - lokalizacja Gliwice, ul. Biegusa 72 2,7 km do centrum 3 min. spacerem do przystanku autobusowego dojazd do centrum: 9 min samochodem Istotne punkty w okolicy inwestycji Przystanek autobusowy (225 m, 3 minuty spacerem) Apteka (622 m, 8 minut spacerem) Przedszkole (714 m, 9 minut spacerem) Szkoła Podstawowa (742 m, 9 minut spacerem) Kawiarnia (793 m, 10 minut spacerem) Piekarnia (839 m, 10 minut spacerem) Restauracja (870 m, 10 minut spacerem) Poczta (904 m, 11 minut spacerem) Weterynarz (923 m, 11 minut spacerem) Oferta pochodzi z serwisu obido","ul. Biegusa, Sikornik, Gliwice, śląskie",garaż/miejsce parkingowe,398500.0,10000.0,contact for details,2 ,2-pokojowe mieszkanie 39m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-bez-prowizji-ID4oLsB
,balkon,do wykończenia,3,pełna własność,"WYBÓR MIESZKAŃ POD INWESTYCJĘ NA ŚRÓDMIEŚCIU - zarówno w sprzedaży  lokale mieszkalne jak i użytkowe z VATem 23% do odliczenia  przy najmie. Lokalizacje 1,5km od Wyspy Spichrzów lub na  samej Wyspie Spichrzów !       Brak prowizji i podatku PCC.  Bez ukrytych kosztów.   NISKA kwota rezerwacji - jedynie 3 000 zł.     Idealne pod  ZAKUP INWESTYCYJNY  - zadzwoń i spytaj o ofertę dla INWESTORÓW w różnych lokalizacjach Gdańska, ciesz się najniższą ceną i najwyższym zwrotem kapitału ! POSIADAMY W OFERCIE OFERTY  W NAJNIŻSZYCH CENACH  NA RÓŻNYCH DZIELNICACH GDAŃSKA!     Bezpłatna pomoc DORADCY FINANSOWEGO przy zakupie nieruchomości!       Umów się na spotkanie od poniedziałku do soboty , podczas spotkania możliwość  obejrzeni a  przykładowych rozkładów. Kontakt telefoniczny  6 dni w tygodniu w godzinach 8-21.     Możliwa  bezpłatna rezerwacja  mieszkania na 3 dni – szczegóły pod nr tel.       LOKALIZACJA:   - W pobliżu Osiedla  linie autobusowe oraz tramwajowe   - ścisłe Centrum w pieszej odległości od Wyspy Spichrzów   - widok na wodę lub w stronę centrum   - Pełna infrastruktura usługowo – handlowa; 5minut od Forum Gdańsk   - dystans rowerowy dzieli nas od plaży   - stacja kolejowa Gdańsk Główny oraz Gdańsk Śródmieście i Gdańsk Stocznia   - terminal promowy   - 2-6km od Uczelni: GUM, Politechnika, ASP       WYSOKI STANDARD OSIEDLA:   - Winda   - Dostępne miejsca parkingowe na terenie osiedla   - Mieszkania z ogródkami na parterze   - Oświetlenie LED, elementy drewnopodobne na klatkach schodowych   - kameralne osiedle       Informacje techniczne:   - Spotkania odbywają się na inwestycji   - Kupujący nie ponosi dodatkowych opłat,  gwarantujemy najniższe ceny zakupu   - obsługa możliwa  w języku angielskim !    ","Śródmieście, Gdańsk, pomorskie","garaż/miejsce parkingowe,tak",496000.0,14588.0,contact for details,2 ,RÓŻNE lokalizacje blisko w.spichrzów_RABAT do sob!,https://www.otodom.pl/pl/oferta/rozne-lokalizacje-blisko-w-spichrzow-rabat-do-sob-ID4rGSd
