area,available_from,deposit,floor,location,price,AddServices,rooms,title,url,listing_description
52.02 ,contact for details,,8-Jun,"ul. Braniborska, Szczepin, Stare Miasto, Wrocław, dolnośląskie","3,983",469,3,nowe – Braniborska 68/39A - bez pośredników,https://www.otodom.pl/pl/oferta/nowe-braniborska-68-39a-bez-posrednikow-ID4rMz2,"W pierwszym miesiącu zapłacisz 500 zł mniej!*   *Promocja jest jednorazowa i jednokrotna, co oznacza, że uprawnia tylko jednego najemcę będącego stroną tej samej umowy, w zakresie prawa tego najemcy do obniżenia tylko jednego czynszu spośród wszystkich czynszów określonych w umowie najmu. Promocja obowiązuje do dnia jej odwołania przez organizatora.       Przedmiotem ogłoszenia jest 3-pokojowe mieszkanie położone na 6 piętrze w inwestycji Braniborska 58. To przestronny lokal o powierzchni 52,02 m2. Cechą budynku jest wysoki standard i świetna lokalizacja. Najem bez pośredników, prowizji i ukrytych kosztów! Zapraszamy do zapoznania się z ofertą i do kontaktu.    Podsumowanie kosztów:    ·       Czynsz najmu: 3 983,00 zł    ·       Opłata eksploatacyjna: 469,00 zł   Media: Opłaty za wodę ciepłą i zimną, centralne ogrzewanie, energię elektryczną i odprowadzenie ścieków, naliczane zgodnie ze wskazaniem podliczników w lokalu    Mieszkania są w pełni urządzone:   ·       Posiadają system Smart Home   ·       Lokale wyposażyliśmy w meble: pakowne szafy w zabudowie, kanapę i łóżko, szafkę RTV i stolik kawowy, a także stół z krzesłami.   ·       W kuchni i łazience zainstalowaliśmy wysokiej jakości, energooszczędny sprzęt AGD: lodówka, zmywarka, piekarnik, płyta indukcyjna, pralka.   ·       Możliwość wynajęcia komórki lokatorskiej oraz miejsca postojowego w garażu podziemnym!   Braniborska 58   Wybierz jedno spośród nowoczesnych mieszkań do wynajęcia w doskonałej lokalizacji na mapie Wrocławia. Lokale są umeblowane i wyposażone w wysokiej jakości, energooszczędny sprzęt AGD. Braniborska 58 to projekt, który wyróżnia się dzięki wyjątkowym walorom architektonicznym i zachwyca designem wśród okolicznej infrastruktury. Znajduje się jedyne 20 minut spacerem od Rynku – idealne miejsce dla osób, które lubią czuć energię miasta i chcą mieć wszędzie blisko.   Dlaczego warto tu zamieszkać?   W bliskiej okolicy znajdziesz wszelkie udogodnienia życia codziennego. Supermarket, sklepy, punkty usługowe, a nawet centrum handlowe – wszystko w zasięgu spaceru. Dzięki licznym połączeniom komunikacji miejskiej i pobliskiej stacji PKP Wrocław Mikołajów, sprawnie dojedziesz w każdą część miasta. Wolny czas spędzisz w Parku Zachodnim, Hali Świebodzki czy Muzeum Współczesnym, a po dniu pełnym wrażeń odpoczniesz na wygodnej kanapie. Wybierz swoje mieszkanie już dziś!   W okolicy znajdują się między innymi:   ●       CH Magnolia   ●       Dworzec PKP Wrocław Mikołajów   ●       Ścieżki rowerowe   ●       Liczne sklepy i punkty usługowe   ●       Rynek – 20 min spacerem   ●       Przystanki komunikacji miejskiej   Mieszkania są w pełni urządzone:   ●       Całkiem nowe mieszkania wyposażyliśmy w meble: pakowne szafy w zabudowie, kanapę i łóżko, szafkę RTV i stolik kawowy, a także stół z krzesłami.   ●       W kuchni i łazience zainstalowaliśmy wysokiej jakości, energooszczędny sprzęt AGD: lodówka, piekarnik, płyta indukcyjna, pralka.   ●        Mieszkania posiadają system Smart Home    Informacje dodatkowe:   ●       Mieszkania z balkonami   ●       Winda   ●       Monitoring   ●       Garaż podziemny   ●      Jesteśmy właścicielem całego budynku   ●       Sklepy, lokale usługowe i restauracje w pobliskim CH   Vantage Rent wynajmuje fair!   Dołącz do społeczności Vantage Rent  i wynajmuj mieszkanie bez prowizji, bez pośredników, bez ukrytych kosztów. Przejrzysta umowa, stabilne warunki najmu i pewność, że zawsze czuwa nad Tobą Twój dedykowany opiekun. W naszych mieszkaniach zwierzęta są mile widziane!   Zapraszamy do kontaktu z naszymi doradcami ds. najmu, aby poznać szczegóły oferty!   We speak english!   _   Vantage Rent to marka mieszkań na wynajem, stworzona przez wrocławską spółkę Vantage Development.  To firma z 17-letnim doświadczeniem na rynku nieruchomości, która w swojej historii sprzedała ponad 5,5 tysiąca lokali. Vantage Development to także członek Polskiego Związku Firm Deweloperskich.   Od 2021 roku spółka poza sprzedażą, oferuje także najem w pełni wykończonych i wyposażonych mieszkań Vantage Rent. O zaletach mieszkania w lokalach VR przekonali się mieszkańcy Wrocławia, Poznania i Łodzi, a to jeszcze nie koniec.   Budynki, w których znajdują się mieszkania są własnością firmy, dlatego może ona zaproponować klientom komfortowy i bezpieczny najem długoterminowy. Bez ukrytych kosztów, bez pośredników i bez prowizji, z umową na jasnych zasadach.         Zdjęcia w galerii prezentują mieszkanie wzorcowe dla danego stylu.   Prezentowane materiały mają charakter poglądowy oraz informacyjny i nie stanowią oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego."
68,contact for details,,apartamentowiec,"Śródmieście, Bydgoszcz, kujawsko-pomorskie","3,200",,3,"Piękny apartament z miejscem garażowym, Centrum",https://www.otodom.pl/pl/oferta/piekny-apartament-z-miejscem-garazowym-centrum-ID4r89J,"Do wynajęcia eleganckie i komfortowe M-4, blisko Centrum i NATO. Lokal o powierzchni 68 m2, znajdujący się na 1 piętrze w nowym apartamentowcu z windą, składa się z przestronnego salonu połączonego z w pełni wyposażonym aneksem kuchennym, dwóch sypialni, przedpokoju, garderoby i łazienki.   Przestronny salon wyposażony został w wygodny komplet wypoczynkowy, komodę i TV. Aneks kuchenny z białą zabudową wraz z płytą grzewczą, piekarnikiem, zmywarką i dużą lodówko-zamrażarką. Połączenie aneksu i salonu to duży stół z krzesłami.   W przedpokoju bardzo pojemna zabudowa garderobiana.   Jedna z sypialni wyposażona została w dwuosobowe łóżko, komodę z szufladami i nocne stoliki, a druga w narożnik i duże biurko z krzesłem.   Atutem lokalu jest garderoba, w której ukryta została pralka oraz zabudowa z drążkami, półkami i szufladami.   Duży balkon z ładną terakotą na podłodze wyposażony został w meble ogrodowe.   Apartament idealnie nadaje się jako mieszkanie służbowe, ponieważ został wyposażony również we wszystkie niezbędne sprzęty codziennego użytku: odkurzacz, deskę do prasowania, suszarkę do prania, żelazko, a kuchnia również w drobny sprzęt AGD: naczynia, garnki, sztućce, kubki, kieliszki i czajnik elektryczny.   Tuż obok mieszkania znajduje się przynależna komórka lokatorska o powierzchni 6 m2.   W lokalu zainstalowana została klimatyzacja.   O atrakcyjności apartamentu stanowi również jego lokalizacja, pomiędzy ścisłym Centrum Bydgoszczy a NATO, tuż nad przepięknie zrewitalizowanym Kanałem Bydgoskim zachęcającym do czynnego odpoczynku po pracy.   Miesięczny koszt najmu to 3200,- dla Właściciela+czynsz około 770,- oraz prąd wg zużycia. Kaucja. Istnieje możliwość wynajęcia miejsca postojowego w hali garażowej w cenie 250,-.   Serdecznie zapraszamy na prezentację.   531 266 669  "
25,8/1/2024,,blok,"ul. Wałowa, Zabłocie, Podgórze, Kraków, małopolskie","1,950",400,1 950 zł,"Kawalerka (25m2 ) - ul. Wałowa, Zabłocie",https://www.otodom.pl/pl/oferta/kawalerka-25m2-ul-walowa-zablocie-ID4rMzd,"Do wynajęcia od zaraz kawalerka z tarasem o pow. 25 m2 zlokalizowana na parterze nowego bloku przy ul. Wałowej. OPIS MIESZKANIA Mieszkanie składa się z pokoju z aneksem kuchennym i dostępem do tarasu, łazienki oraz przedpokoju. Na wyposażenie mieszkania składają się niezbędne meble (widoczne na zdjęciach) oraz sprzęty AGD (lodówka, płyta, okap, zmywarka, pralka). Mieszkanie jest ciche i jasne. Ogrzewanie z sieci miejskiej. Bezpośrednio pod budynkiem znajduje się parking miejski strefa C. Internet we własnym zakresie. Umowa minimum na rok z możliwością przedłużenia. W mieszkaniu obowiązuje zakaz posiadania zwierząt. LOKALIZACJA Mieszkanie znajduje się na ulicy Wałowej, w bardzo atrakcyjnej i modnej lokalizacji, na Zabłociu, które obecnie jest bardzo szybko rozwijającą się industrialną dzielnicą Krakowa, z masą popularnych restauracji i kawiarni, a także nowoczesnych biurowców i licznych punktów usługowo-handlowych w bliskiej okolicy. OPŁATY Czynsz - 1950 zł Opłaty administracyjne - ok. 400 zł Prąd płatny według zużycia - obowiązuje przepisanie liczników Kaucja - jednomiesięczny czynsz Prowizja dla biura - jednomiesięczny czynsz Umowa na minimum rok z możliwością przedłużenia. W mieszkaniu obowiązuje zakaz posiadania zwierząt. Przez cały okres trwania umowy najem jest obsługiwany przez biuro TDB Nieruchomości, które działa w imieniu właściciela i opiekuje się mieszkaniem. Mieszkanie można zobaczyć od zaraz. Zainteresowanych zapraszam do kontaktu pod nr telefonu+48 572 854 289 Agent odpowiedzialny za ofertę Ewa Lis TDB Nieruchomości *** Studio apartment (25m2) - ul. Wałowa, Zabłocie For rent from now on a studio apartment with a terrace of the area. 25 m2 located on the ground floor of a new block at ul. Wałowa. APARTMENT DESCRIPTION The apartment consists of a room with a kitchenette and access to the terrace, bathroom and hall. The equipment of the apartment includes the necessary furniture (shown in the pictures) and household appliances (fridge, induction hob, hood, dishwasher, washing machine). The apartment is quiet and bright. Heating from the city network. Directly under the building there is a city car park, zone C. Possibility to connect the Internet. Agreement for a minimum period of one year with the possibility of extension. Pets are not allowed in the apartment. LOCATION The apartment is located on Wałowa Street, in a very attractive and fashionable location, in Zabłocie, which is now a rapidly developing industrial district of Krakow, with a lot of popular restaurants and cafes, as well as modern office buildings and numerous service and commercial points in the vicinity. FEES Rent - 1950 PLN Administrative fees - about PLN 400 Electricity payable according to consumption - rewriting of meters is obligatory Deposit - one month's rent Real estate commission - one month's rent Contract for a minimum of one year with the possibility of extension. Pets are not allowed in the apartment. Throughout the term of the contract, the lease is handled by the TDB Nieruchomości office, which acts on behalf of the owner and takes care of the apartment. The apartment can be seen immediately. If you are interested, please contact me at +48 572 854 289  The agent responsible for the offer Ewa Lis Real Estate"
50,contact for details,"5,000",4-Mar,"ul. Lwowska, Gajowice, Fabryczna, Wrocław, dolnośląskie","2,000",600,3,"Wynajmę mieszkanie - 3 pokoje, ul. Lwowska",https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-3-pokoje-ul-lwowska-ID3CAeY,"Wynajmę mieszkanie w całości lub na pokoje.     LOKALIZACJA: ul. Lwowska. Atrakcyjna lokalizacja w centrum. W okolicy sklepy, punkty usługowe, restauracje, szkoły/uczelnie, przystanki autobusowe i tramwajowe. 5 min pieszo do Sky Tower, 10 min. do Rynku. Miejsce doskonale skomunikowane z całym miastem.     OPIS: powierzchnia 50m2 (kuchnia, trzy pokoje z osobnymi zamkami, łazienka, przedpokój, balkon, piwnica). Lokal na 3 pietrze, czteropiętrowego budynku.  Mieszkanie będzie umeblowane pod potrzeby najemcy.  "
57,contact for details,"3,300",apartamentowiec,"Falenica, Wawer, Warszawa, mazowieckie","3,300",,3,Warszawa-Falenica Mieszkanie 57m2 + balkon!,https://www.otodom.pl/pl/oferta/warszawa-falenica-mieszkanie-57m2-balkon-ID4kA9O,"Dzień dobry   Do wynajęcia W Y J Ą T K O W E mieszkanie (57m2) z przestronnym balkonem w Falenicy (Warszawa) przy ul. Poematu w budynku, który został oddany do użytku w 2020r.   Mieszkanie znajduje się na 5 piętrze, a składają się na nie: -2 sypialnie -salon z kuchnią -łazienka -oddzielne wc  -przestronny balkon z widokiem na piękny las   Osiedle znajduje się w odległości:  -> 4 minut spacerem od najbliższego przystanku autobusowego -> linią 521 można dostać się bezpośrednio do centrum Warszawy; ->15 minut spacerem od stacji kolejki miejskiej (Falenica) -> 30 min do stacji Śródmieście  ->3 minut od wjazdu na obwodnice południową Warszawy ( na tyle daleko, że hałas nie przeszkadza)  Do dyspozycji przyszłego lokatora przeznaczone jest również miejsce parkingowe(250zł)   W wyposażeniu kawalerki oferuję wysokiej jakości, sprzęty AGD oraz meble : ~pralkę; ~piekarnik wolnostojący; ~mikrofalę; ~zmywarkę; ~przestronną lodówkę z zamrażarką; ~meble widocznie na zdjęciach  Na terenie osiedla oraz w jego bezpośredniej okolicy znajduje się:  -sklep Rossmann,  -Carrefour (duży supermarket - nie express) -restauracje (wysokie oceny na Google) -przychodnia lekarska,  -siłownia,  -gabinet kosmetyczny i masażu oraz wiele innych;  Ciekawym pomysłem na spędzenie weekendowego wieczoru może być seans w pobliskim kinie studyjnym zlokalizowanym w zabytkowym budynku stacji kolejowej (15 minut spacerem)  Osiedle zlokalizowane jest na skraju przepięknego podwarszawskiego lasu stanowiącego świetne miejsce do wypoczynku i rekreacji (liczne ścieżki piesze oraz rowerowe)  Cena:  3300zł + 250zł (miejsce parkingowe) + media (zaliczki z tytułu czynszu administracyjnego oraz mediów)"
52.67,contact for details,"3,000",5-Feb,"ul. Czerwone Maki, Ruczaj, Dębniki, Kraków, małopolskie","3,000",550,2,"Ruczaj.Czerw.Maki.Luksusowe 53m,z m.post w cenie.",https://www.otodom.pl/pl/oferta/ruczaj-czerw-maki-luksusowe-53m-z-m-post-w-cenie-ID4rMxu,"Os. Europejskie / LIZBONA / NAJMUJ I POCZUJ KLIMAT MIESZKANIA W NIEZWYKŁYM MIEJSCU   CZERWONE MAKI  - DWUPOKOJOWE O BARDZO WYSOKIM STANDARDZIE   WYŁĄCZNOŚĆ- IDEALNE DLA STUDIUJĄCEJ I PRACUJĄCEJ PARY   MIESZKANIE DO WYNAJĘCIA OD PAŹDZIERNIKA DO CZERWCA     Agencja i Biuro Nieruchomości  oferuje Państwu  na nowoczesne i przestronne mieszkanie o powierzchni 52,67 m2 zlokalizowane na Os. Europejskim  z 2009r.   Mieszkanie znajduje się na drugim piętrze 5-cio piętrowego  apartamentowca przy ulicy Czerwone Maki. Układ mieszkania:  Południowy-Zachód  (kuchnia, salon z wyjściem na bardzo duży balkon typu taras,sypialnia)   Funkcjonalny hall, osobno wc,łazienka z wanną   MIESZKANIE FANTASTYCZNE Z KLIMATEM   UWAGA !   Do mieszkania przynależy miejsce parkingowe co jest Zaletą.   Mieszkanie do wynajmu od października do czerwca ( 3 miesiące w roku właściciele chcą mieć dla siebie by odświeżyć) Idealne dla pracujących w korporacji lub pracujących studentów.   Mieszkanie przestronne,jak wyżej napisane z klimatem do urządzenia salon wg.własnych upodobań. Niskie utrzymanie mieszkania, ogrzewanie i woda z sieci lokalnej.   W mieszkaniu brak gazu. Na poziomie -1 rowerownia.   Budynek monitorowany,ochrona,wjazd na parking za szlaban na pilota.   -   ULICA:  Czerwone Maki,Ruczaj,os.Europejskie   POWIERZCHNIA:  52,67 m2   ILOŚĆ POKOI: 2   POKOJE : rozkładowe   UMEBLOWANIE:  częściowo   KUCHNIA:  oddzielna jasna z oknem z której jest wejście do salonu   WYPOSAŻENIE KUCHNI:  kuchnia indukcyjna, piekarnik, lodówko-zamrażalka,zmywarka   ŁAZIENKA: wanna, pralka   WC:  osobno   PIĘTRO:   2/5   WINDA:  tak,duża   BALKON:  tak, bardzo duży typu taras   OKNA:  nowe PCV   OGRZEWANIE i WODA :  miejskie,lokalne   INTERNET: do podłączenia   RODZAJ BUDYNKU:  Apartamentowiec z 2009 roku   PREFEROWANY NAJEMCA:   osoby pracujące   DLA OSÓB PALĄCYCH:  nie   PRZYJAZNE ZWIERZĘTOM:  nie   WOLNE OD:  1 października     OPŁATY:   Najem:  3.000 zł z miejscem postojowym naziemnym   Czynsz:  550zł (w tym ogrzewanie, woda, monitoring,opłaty eksploatacyjne,śmieci)   Opłaty wg zużycia:  prąd   Kaucja zwrotna:  3.000zł   Inne:  jednorazowa prowizja dla biura, płatna tylko w przypadku najmu mieszkania brutto.     !!! Zapraszamy !!!       KONTAKT :   ABN NIERUCHOMOŚCI - RODZINA U SIEBIE     Beata Niklewicz lic.13133   668-483-990   12/421-23-65         Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Beata Niklewicz (licencja nr: 13133)  "
72,contact for details,,parter/4,"Rataje, Nowe Miasto, Poznań, wielkopolskie","3,000",1,3,Atrakcyjne 3 pokoje przy Politechnice.,https://www.otodom.pl/pl/oferta/atrakcyjne-3-pokoje-przy-politechnice-ID4rMzs,"Do wynajęcia mieszkanie 3 pokoje 72 m2  przy Rondzie Rataje . Lokal składa się z 3 pokoi, otwartej kuchni , oddzielnej łazienki z prysznicem i oddzielnego WC. Mieszkanie całkowicie umeblowane i wyposażone. Kuchnia wyposażona w meble w zabudowie, lodówkę, zmywarkę, płytę indukcyjną, piekarnik. W łazience pralka. Pokoje całkowicie umeblowane. Doskonała lokalizacja, bezpośrednie sąsiedztwo Politechniki ( najbliżej uczelni położony budynek mieszkalny), dobry dojazd ( 2 przystanki tramwajem) do AWF. Bardzo dobre połacenie z centrum miasta dworcem PKP, Starym Rynkiem. Naprzeciwko Galeria Posnania."
75,contact for details,"2,000",6-Jun,"ul. Racławicka, Wyględów, Mokotów, Warszawa, mazowieckie","5,000",1,3,"Wynajmę bezpośrednio 3pok. 75m², Ochota",https://www.otodom.pl/pl/oferta/wynajme-bezposrednio-3pok-75m-ochota-ID4rMzp,
48,contact for details,"9,300",parter,"ul. Tadeusza Kościuszki, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie","3,100",500,2,Do wynajęcia mieszkanie po generalnym remoncie,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-po-generalnym-remoncie-ID4rtGW,"Do wynajęcia, dwupokojowe mieszkanie w pobliżu centrum Wrocławia przy ul. Kościuszki (skrzyżowanie z ul. Chudoby). Mieszkanie znajduje się na parterze kamienicy. Jego powierzchnia wynosi 48 m2. Składa się z dwóch przechodnich pokoi (salon + sypialnia), kuchni oraz łazienki. Wszystkie pomieszczenia są w pełni umeblowane. Kuchnia wyposażona jest w płytę gazową, piekarnik, lodówkę, zmywarkę oraz pralkę. W łazience znajduje się toaleta i prysznic. Do mieszkania przynależy również piwnica.  Miejsca parkingowe dostępne są przy ulicy. Mieszkanie jest świeżo po remoncie.  W mieszkaniu znajduje się ogrzewanie elektryczne – nowe grzejniki akumulacyjne (dostępne są dwie taryfy).  Czynsz najmu wynosi - 3100pln plus opłaty według zużycia mediów (prąd, gaz, woda, ścieki, wywóz nieczystości). Kaucja w wysokości trzymiesięcznego czynszu najmu płatna przy podpisywaniu umowy. Umowa najmu okazjonalnego.  W pobliży przystanki komunikacji miejskiej - tramwaje linii: 5, 3 oraz autobusy linii: 114, 120.  W pobliżu znajdują się liczne tereny rekreacyjne, trasy rowerowe oraz markety i sklepy spożywcze. Mieszkanie dostępne od zaraz, dla osoby pracującej."
11,contact for details,"5,000",2-Jan,"Centrum, Sulejówek, miński, mazowieckie","3,100",,3,Wynajmę nowe mieszkanie bezpośrednio w Sulejówku,https://www.otodom.pl/pl/oferta/wynajme-nowe-mieszkanie-bezposrednio-w-sulejowku-ID4o7s6,"  Mieszkanie składa się z 2 pokoi o pow. 11 m2 i 10 m2 oraz salonu z aneksem kuchennym o pow. 28 m2, łazienki, balkonu 7m od strony południowo -wschodniej. Balkon obudowany szkłem z przodu i murkiem oporowym dodającym dyskrecji. Do dyspozycji miejsce parkingowe w cenie.   Kuchnia umeblowa i wyposażona w sprzęty.   Klatka schodowa 9 m2.  Łazienka o pow. 3,7 m2 z pralką oraz z piecem gazowym do ogrzewania mieszkania i ciepłej wody.    W łazience i w kuchni  także ogrzewanie podłogowe.     Zainstalowane anteny satelitarne, internet w drodze IT 24 (bardzo dobre łącze i mobilne i telewizyjne).   Do Lidla 200 m, do stacji SKM 500m, do szkoły podstawowej 500 m, do liceum 500 m, do kościoła 400 m.   Mieszkanie posiada świadectwo energetyczne zgodnie z obowiązującymi przepisami. Czynsz 3.100 zł + koszty w zależności od zużycia poszczególnych mediów.   Teren zamkniety. Brak mozliwości wjazdu dla osób postronnych.   Gorąco polecam."
50,contact for details,"6,000",4-Feb,"Powsinek, Wilanów, Warszawa, mazowieckie","4,500",1,2,"Dwupokojowe mieszkanie – Wilanów, ul. Sarmacka",https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-wilanow-ul-sarmacka-ID4rDRD,"    W okolicy nieruchomości znajduje się wiele restauracji serwujących różnorodne kuchnie, takie jak włoska, gruzińska i indyjska. Zakupy na co dzień ułatwiają liczne sklepy spożywcze i supermarkety, w tym Auchan, Lidl i Żabka. Bezpośrednio obok nieruchomości znajduje się sklep Biedronka. Mieszkańcy mają łatwy dostęp do atrakcji kulturalnych czy rekreacyjnych, takich jak Pałac i Park Wilanowski, znajdujące się w sąsiedztwie czy Rezerwat Przyrody Morysin. Dzielnica oferuje również liczne centra fitness i inne obiekty sportowe.       NIERUCHOMOŚĆ:     Nieruchomość o powierzchni 50 m2 składa się z przestronnej strefy dziennej połączonej z kuchnią i jadalnią, sypialni, pokoju, łazienki i balkonu. Salon jest w pełni wyposażony w rozkładaną sofę, stół, dwa krzesła i telewizor. Funkcjonalna kuchnia  wyposażona w szafki, płytę indukcyjną, zmywarkę, piekarnik. Łazienka wyposażona w pojemne szafki, pralkę, umywalkę, wc i duży prysznic. W sypialni wygodne łóżko i pojemna szafa.     Mieszkanie będzie idealne dla tych, którzy cenią sobie bliskość zielonych skwerów, dobrze rozwiniętą infrastrukturę miejską, bliskość sklepów i restauracji oraz dobre połączenia komunikacji miejskiej z centrum.     FINANSE:     Czynsz najmu 4500 PLN + Czynsz administracyjny 980 PLN + media ok. 480 PLN.    Miejsce postojowe w garażu podziemnym w cenie.    Zapraszam  do kontaktu   Mateusz - 451555268"
40,7/22/2024,"3,800",4-Jan,"ul. Antoniego Słonimskiego, Wrzeszcz Górny, Gdańsk, pomorskie","3,800",,2,"Garnizon Zostań 1-szym Najemcą, Wysoki Standard",https://www.otodom.pl/pl/oferta/garnizon-zostan-1-szym-najemca-wysoki-standard-ID4rEqk,"Zostań pierwszym Najemcą.  Na wynajem  nowoczesne, funkcjonalne  mieszkanie na  parterze z tarasem (bez ogrodzenia). P ołożone na osiedlu  ""Garnizon""  w Gdańsku Wrzeszcz. Mieszkanie o powierzchni  40m2, świeżo wykończone w wysokim standardzie  dla pierwszego Najemcy. Składa się z: -  salonu  z wyjściem na taras/ogród (bez ogrodzenia),  -  aneksu kuchennego  (lodówka, zmywarka, piekarnik), -  sypialni  z pojemną szafą na ubrania, wygodnym łóżkiem 160 oraz miejscem wydzielonym do pracy, -  łazienki  (wanna z funkcją prysznica, pralka, zabudowa z szafek), -  przedpokoju  z szafą. Duża ilość miejsc do przechowywania, funkcjonalna kuchnia, wydzielone osobne miejsce do pracy w sypialni, wyjście do kameralnego ogródka/taras oraz lokalizacja budynku na pewno zapewnią  przyjemność z mieszkania . Do dyspozycji Najemcy  komórka lokatorska . Istnieje  możliwość wynajęcia miejsca postojowego w hali garażowej od dewelopera w abonamencie. Wynajem od zaraz, całoroczny minimum na 12 miesięcy.  Bez zwierząt.  Dla jednej lub dwóch osób pracujących, dbających o porządek. Świetna lokalizacja : około 13 min spacerem do Galerii Bałtyckiej, blisko lotnisko, wjazd na Obwodnicę, centrum miasta. Na osiedlu pełna infrastruktura handlowo-usługowa: sklepy, piekarnie, jedne z najlepszych w Trójmieście cukierni, restauracje, pizzerie, apteka, fryzjer, klub muzyczny Stary Maneż, market ""Bazar Natury"" z ekologicznymi warzywami, wędlinami, mięsem, Żabki, supermarket Biedronka. W pobliżu przystanki autobusowe i SKM, biurowce Alchemia, Olivia Gate. Opłaty:   - Miesięczny czynsz 3 800zł. - Mieszkanie przeznaczone dla pierwszego Najemcy więc dokładna kwota opłat administracyjnych nie jest znana. Przy tym metrażu średnio zakłada się minimum 450-550zł (lato-zima) z zaliczką na wodę i ogrzewanie. W przypadku wyrównania od administracji Najemca jest zobowiązany do zapłaty kosztów za swoje zużyte media. - Prąd według zużycia. - Internet i pakiet TV po stronie Najemcy. - Wymagana kaucja 3 800zł Zapraszam na prezentację po wcześniejszym umówieniu się telefonicznie. Contact also in English. Przedstawione powyżej propozycje nie stanowią oferty handlowej w rozumieniu przepisów prawa, lecz mają charakter informacyjny. Wszelkie dane dotyczące nieruchomości uzyskano na podstawie oświadczeń właściciela."
28.42,contact for details,,blok,"pl. Rodła, Centrum, Śródmieście, Szczecin, zachodniopomorskie","2,300",550,3 000 zł,Kawalerka w samym centrum miasta przy pl. Rodła,https://www.otodom.pl/pl/oferta/kawalerka-w-samym-centrum-miasta-przy-pl-rodla-ID4rDRB,"Oferuję do wynajęcia kawalerkę o powierzchnii 28,42 m², zlokalizowaną w samym centrum miasta przy pl. Rodła. Mieszkanie jest idealne dla singla lub pary.     Lokalizacja     W samym centrum miasta   Świetna komunikacja miejska 3 min. do przystanków tramwajowych i autobusowych   W pobliżu sklepy, C.H. Galaxy, C.H. Kaskada. restauracje, kawiarnie, parki   Szybki dojazd do uczelni i biur       Wyposażenie     Aneks kuchenny z płytą indukcyjną, mikrofalą, lodówką z zamrażarką   Przestronny pokój wyposażony w łóżko 140x200, stół z 4 krzesłami, szafkę RTV, TV 55 cali, fotel, stolik kawowy   Łazienka z wanną, pralką, podwieszaną szafką   W przedpokoju znajduje się duża zabudowana szafa wraz z odkurzaczem, deską do prasowania, suszarką na pranie       Dodatkowe informacje     Balkon   Duże okna zapewniają dożo naturalnego światła   Miejsce parkingowe na terenie zamkniętym       Cena     2 400 zł/ miesięcznie   550 zł czynsz administracyjny   Dodatkowo opłaty eksploatacyjne (energia elektryczna)   Kaucja 3 000 zł       Dostępne od: 01.08.2024 r.   Regulamin najmu wyklucza możliwość posiadania zwierząt przez najemców, w mieszkaniu obowiązuje też całkowity zakaz palenia.   Zapraszam do kontaktu i oglądania mieszkania."
